Channel	AMBG	RampGain	InputVoltage	ADCvalue
CAL	0	14	0.44	474
CAL	0	15	0.44	480
CAL	0	0	0.45	376
CAL	0	1	0.45	383
CAL	0	2	0.45	391
CAL	0	3	0.45	398
CAL	0	4	0.45	409
CAL	0	5	0.45	415
CAL	0	6	0.45	422
CAL	0	7	0.45	428
CAL	0	8	0.45	440
CAL	0	9	0.45	447
CAL	0	10	0.45	455
CAL	0	11	0.45	461
CAL	0	12	0.45	471
CAL	0	13	0.45	478
CAL	0	14	0.45	485
CAL	0	15	0.45	490
CAL	0	0	0.46	384
CAL	0	1	0.46	392
CAL	0	2	0.46	399
CAL	0	3	0.46	406
CAL	0	4	0.46	417
CAL	0	5	0.46	424
CAL	0	6	0.46	431
CAL	0	7	0.46	438
CAL	0	8	0.46	450
CAL	0	9	0.46	457
CAL	0	10	0.46	465
CAL	0	11	0.46	471
CAL	0	12	0.46	482
CAL	0	13	0.46	488
CAL	0	14	0.46	495
CAL	0	15	0.46	501
CAL	0	0	0.47	392
CAL	0	1	0.47	400
CAL	0	2	0.47	408
CAL	0	3	0.47	415
CAL	0	4	0.47	426
CAL	0	5	0.47	433
CAL	0	6	0.47	440
CAL	0	7	0.47	447
CAL	0	8	0.47	459
CAL	0	9	0.47	467
CAL	0	10	0.47	474
CAL	0	11	0.47	481
CAL	0	12	0.47	492
CAL	0	13	0.47	498
CAL	0	14	0.47	506
CAL	0	15	0.47	512
CAL	0	0	0.48	400
CAL	0	1	0.48	408
CAL	0	2	0.48	416
CAL	0	3	0.48	423
CAL	0	4	0.48	435
CAL	0	5	0.48	442
CAL	0	6	0.48	450
CAL	0	7	0.48	456
CAL	0	8	0.48	469
CAL	0	9	0.48	476
CAL	0	10	0.48	484
CAL	0	11	0.48	491
CAL	0	12	0.48	502
CAL	0	13	0.48	509
CAL	0	14	0.48	516
CAL	0	15	0.48	522
CAL	0	0	0.49	408
CAL	0	1	0.49	416
CAL	0	2	0.49	425
CAL	0	3	0.49	432
CAL	0	4	0.49	444
CAL	0	5	0.49	451
CAL	0	6	0.49	459
CAL	0	7	0.49	465
CAL	0	8	0.49	478
CAL	0	9	0.49	486
CAL	0	10	0.49	494
CAL	0	11	0.49	501
CAL	0	12	0.49	512
CAL	0	13	0.49	519
CAL	0	14	0.49	526
CAL	0	15	0.49	533
CAL	0	0	0.5	416
CAL	0	1	0.5	424
CAL	0	2	0.5	433
CAL	0	3	0.5	440
CAL	0	4	0.5	453
CAL	0	5	0.5	460
CAL	0	6	0.5	468
CAL	0	7	0.5	474
CAL	0	8	0.5	487
CAL	0	9	0.5	495
CAL	0	10	0.5	504
CAL	0	11	0.5	511
CAL	0	12	0.5	522
CAL	0	13	0.5	529
CAL	0	14	0.5	537
CAL	0	15	0.5	543
CAL	0	0	0.51	424
CAL	0	1	0.51	433
CAL	0	2	0.51	441
CAL	0	3	0.51	449
CAL	0	4	0.51	461
CAL	0	5	0.51	469
CAL	0	6	0.51	477
CAL	0	7	0.51	484
CAL	0	8	0.51	497
CAL	0	9	0.51	505
CAL	0	10	0.51	513
CAL	0	11	0.51	521
CAL	0	12	0.51	533
CAL	0	13	0.51	540
CAL	0	14	0.51	548
CAL	0	15	0.51	554
CAL	0	0	0.52	432
CAL	0	1	0.52	441
CAL	0	2	0.52	450
CAL	0	3	0.52	457
CAL	0	4	0.52	470
CAL	0	5	0.52	478
CAL	0	6	0.52	486
CAL	0	7	0.52	493
CAL	0	8	0.52	506
CAL	0	9	0.52	514
CAL	0	10	0.52	523
CAL	0	11	0.52	530
CAL	0	12	0.52	543
CAL	0	13	0.52	550
CAL	0	14	0.52	558
CAL	0	15	0.52	564
CAL	0	0	0.53	440
CAL	0	1	0.53	449
CAL	0	2	0.53	458
CAL	0	3	0.53	466
CAL	0	4	0.53	479
CAL	0	5	0.53	487
CAL	0	6	0.53	495
CAL	0	7	0.53	502
CAL	0	8	0.53	516
CAL	0	9	0.53	524
CAL	0	10	0.53	533
CAL	0	11	0.53	540
CAL	0	12	0.53	553
CAL	0	13	0.53	560
CAL	0	14	0.53	568
CAL	0	15	0.53	575
CAL	0	0	0.54	448
CAL	0	1	0.54	457
CAL	0	2	0.54	467
CAL	0	3	0.54	474
CAL	0	4	0.54	488
CAL	0	5	0.54	496
CAL	0	6	0.54	504
CAL	0	7	0.54	511
CAL	0	8	0.54	525
CAL	0	9	0.54	534
CAL	0	10	0.54	543
CAL	0	11	0.54	550
CAL	0	12	0.54	563
CAL	0	13	0.54	571
CAL	0	14	0.54	579
CAL	0	15	0.54	586
CAL	0	0	0.55	457
CAL	0	1	0.55	466
CAL	0	2	0.55	475
CAL	0	3	0.55	483
CAL	0	4	0.55	496
CAL	0	5	0.55	505
CAL	0	6	0.55	513
CAL	0	7	0.55	521
CAL	0	8	0.55	535
CAL	0	9	0.55	543
CAL	0	10	0.55	552
CAL	0	11	0.55	560
CAL	0	12	0.55	573
CAL	0	13	0.55	581
CAL	0	14	0.55	589
CAL	0	15	0.55	596
CAL	0	0	0.56	465
CAL	0	1	0.56	474
CAL	0	2	0.56	483
CAL	0	3	0.56	491
CAL	0	4	0.56	505
CAL	0	5	0.56	514
CAL	0	6	0.56	522
CAL	0	7	0.56	530
CAL	0	8	0.56	544
CAL	0	9	0.56	553
CAL	0	10	0.56	562
CAL	0	11	0.56	570
CAL	0	12	0.56	583
CAL	0	13	0.56	591
CAL	0	14	0.56	600
CAL	0	15	0.56	606
CAL	0	0	0.57	473
CAL	0	1	0.57	482
CAL	0	2	0.57	492
CAL	0	3	0.57	500
CAL	0	4	0.57	514
CAL	0	5	0.57	522
CAL	0	6	0.57	531
CAL	0	7	0.57	539
CAL	0	8	0.57	554
CAL	0	9	0.57	563
CAL	0	10	0.57	572
CAL	0	11	0.57	580
CAL	0	12	0.57	593
CAL	0	13	0.57	601
CAL	0	14	0.57	610
CAL	0	15	0.57	617
CAL	0	0	0.58	481
CAL	0	1	0.58	490
CAL	0	2	0.58	500
CAL	0	3	0.58	509
CAL	0	4	0.58	523
CAL	0	5	0.58	531
CAL	0	6	0.58	540
CAL	0	7	0.58	548
CAL	0	8	0.58	563
CAL	0	9	0.58	572
CAL	0	10	0.58	582
CAL	0	11	0.58	590
CAL	0	12	0.58	603
CAL	0	13	0.58	612
CAL	0	14	0.58	620
CAL	0	15	0.58	628
CAL	0	0	0.59	489
CAL	0	1	0.59	498
CAL	0	2	0.59	509
CAL	0	3	0.59	517
CAL	0	4	0.59	532
CAL	0	5	0.59	540
CAL	0	6	0.59	550
CAL	0	7	0.59	557
CAL	0	8	0.59	573
CAL	0	9	0.59	582
CAL	0	10	0.59	592
CAL	0	11	0.59	600
CAL	0	12	0.59	614
CAL	0	13	0.59	622
CAL	0	14	0.59	631
CAL	0	15	0.59	638
CAL	0	0	0.6	497
CAL	0	1	0.6	507
CAL	0	2	0.6	517
CAL	0	3	0.6	526
CAL	0	4	0.6	540
CAL	0	5	0.6	549
CAL	0	6	0.6	559
CAL	0	7	0.6	566
CAL	0	8	0.6	582
CAL	0	9	0.6	592
CAL	0	10	0.6	601
CAL	0	11	0.6	610
CAL	0	12	0.6	624
CAL	0	13	0.6	632
CAL	0	14	0.6	642
CAL	0	15	0.6	649
CAL	0	0	0.61	505
CAL	0	1	0.61	515
CAL	0	2	0.61	525
CAL	0	3	0.61	534
CAL	0	4	0.61	549
CAL	0	5	0.61	558
CAL	0	6	0.61	568
CAL	0	7	0.61	576
CAL	0	8	0.61	592
CAL	0	9	0.61	601
CAL	0	10	0.61	611
CAL	0	11	0.61	619
CAL	0	12	0.61	634
CAL	0	13	0.61	643
CAL	0	14	0.61	652
CAL	0	15	0.61	659
CAL	0	0	0.62	513
CAL	0	1	0.62	523
