Channel	AMBG	RampGain	InputVoltage	ADCvalue
Hrefy	0	8	0.3	301
Hrefy	0	9	0.3	306
Hrefy	0	10	0.3	311
Hrefy	0	11	0.3	315
Hrefy	0	12	0.3	322
Hrefy	0	13	0.3	327
Hrefy	0	14	0.3	331
Hrefy	0	15	0.3	335
Hrefy	0	0	0.31	265
Hrefy	0	1	0.31	270
Hrefy	0	2	0.31	276
Hrefy	0	3	0.31	281
Hrefy	0	4	0.31	288
Hrefy	0	5	0.31	293
Hrefy	0	6	0.31	298
Hrefy	0	7	0.31	302
Hrefy	0	8	0.31	310
Hrefy	0	9	0.31	315
Hrefy	0	10	0.31	320
Hrefy	0	11	0.31	325
Hrefy	0	12	0.31	332
Hrefy	0	13	0.31	337
Hrefy	0	14	0.31	342
Hrefy	0	15	0.31	346
Hrefy	0	0	0.32	273
Hrefy	0	1	0.32	279
Hrefy	0	2	0.32	284
Hrefy	0	3	0.32	289
Hrefy	0	4	0.32	297
Hrefy	0	5	0.32	302
Hrefy	0	6	0.32	307
Hrefy	0	7	0.32	311
Hrefy	0	8	0.32	320
Hrefy	0	9	0.32	325
Hrefy	0	10	0.32	330
Hrefy	0	11	0.32	335
Hrefy	0	12	0.32	343
Hrefy	0	13	0.32	347
Hrefy	0	14	0.32	352
Hrefy	0	15	0.32	356
Hrefy	0	0	0.33	281
Hrefy	0	1	0.33	287
Hrefy	0	2	0.33	293
Hrefy	0	3	0.33	298
Hrefy	0	4	0.33	306
Hrefy	0	5	0.33	311
Hrefy	0	6	0.33	316
Hrefy	0	7	0.33	320
Hrefy	0	8	0.33	329
Hrefy	0	9	0.33	334
Hrefy	0	10	0.33	340
Hrefy	0	11	0.33	345
Hrefy	0	12	0.33	353
Hrefy	0	13	0.33	357
Hrefy	0	14	0.33	362
Hrefy	0	15	0.33	367
Hrefy	0	0	0.34	289
Hrefy	0	1	0.34	295
Hrefy	0	2	0.34	301
Hrefy	0	3	0.34	306
Hrefy	0	4	0.34	315
Hrefy	0	5	0.34	320
Hrefy	0	6	0.34	325
Hrefy	0	7	0.34	330
Hrefy	0	8	0.34	339
Hrefy	0	9	0.34	344
Hrefy	0	10	0.34	350
Hrefy	0	11	0.34	355
Hrefy	0	12	0.34	363
Hrefy	0	13	0.34	368
Hrefy	0	14	0.34	373
Hrefy	0	15	0.34	377
Hrefy	0	0	0.35	298
Hrefy	0	1	0.35	303
Hrefy	0	2	0.35	310
Hrefy	0	3	0.35	315
Hrefy	0	4	0.35	323
Hrefy	0	5	0.35	329
Hrefy	0	6	0.35	334
Hrefy	0	7	0.35	339
Hrefy	0	8	0.35	348
Hrefy	0	9	0.35	354
Hrefy	0	10	0.35	360
Hrefy	0	11	0.35	365
Hrefy	0	12	0.35	373
Hrefy	0	13	0.35	378
Hrefy	0	14	0.35	383
Hrefy	0	15	0.35	388
Hrefy	0	0	0.36	306
Hrefy	0	1	0.36	312
Hrefy	0	2	0.36	318
Hrefy	0	3	0.36	323
Hrefy	0	4	0.36	332
Hrefy	0	5	0.36	337
Hrefy	0	6	0.36	343
Hrefy	0	7	0.36	348
Hrefy	0	8	0.36	358
Hrefy	0	9	0.36	364
Hrefy	0	10	0.36	369
Hrefy	0	11	0.36	374
Hrefy	0	12	0.36	383
Hrefy	0	13	0.36	388
Hrefy	0	14	0.36	394
Hrefy	0	15	0.36	398
Hrefy	0	0	0.37	313
Hrefy	0	1	0.37	320
Hrefy	0	2	0.37	326
Hrefy	0	3	0.37	332
Hrefy	0	4	0.37	341
Hrefy	0	5	0.37	347
Hrefy	0	6	0.37	352
Hrefy	0	7	0.37	357
Hrefy	0	8	0.37	367
Hrefy	0	9	0.37	373
Hrefy	0	10	0.37	379
Hrefy	0	11	0.37	385
Hrefy	0	12	0.37	393
Hrefy	0	13	0.37	399
Hrefy	0	14	0.37	404
Hrefy	0	15	0.37	409
Hrefy	0	0	0.38	322
Hrefy	0	1	0.38	328
Hrefy	0	2	0.38	335
Hrefy	0	3	0.38	340
Hrefy	0	4	0.38	350
Hrefy	0	5	0.38	355
Hrefy	0	6	0.38	361
Hrefy	0	7	0.38	367
Hrefy	0	8	0.38	376
Hrefy	0	9	0.38	383
Hrefy	0	10	0.38	389
Hrefy	0	11	0.38	394
Hrefy	0	12	0.38	403
Hrefy	0	13	0.38	409
Hrefy	0	14	0.38	415
Hrefy	0	15	0.38	420
Hrefy	0	0	0.39	330
Hrefy	0	1	0.39	336
Hrefy	0	2	0.39	343
Hrefy	0	3	0.39	349
Hrefy	0	4	0.39	359
Hrefy	0	5	0.39	364
Hrefy	0	6	0.39	371
Hrefy	0	7	0.39	376
Hrefy	0	8	0.39	386
Hrefy	0	9	0.39	392
Hrefy	0	10	0.39	399
Hrefy	0	11	0.39	405
Hrefy	0	12	0.39	414
Hrefy	0	13	0.39	419
Hrefy	0	14	0.39	425
Hrefy	0	15	0.39	430
Hrefy	0	0	0.4	338
Hrefy	0	1	0.4	345
Hrefy	0	2	0.4	352
Hrefy	0	3	0.4	357
Hrefy	0	4	0.4	367
Hrefy	0	5	0.4	373
Hrefy	0	6	0.4	380
Hrefy	0	7	0.4	385
Hrefy	0	8	0.4	396
Hrefy	0	9	0.4	402
Hrefy	0	10	0.4	409
Hrefy	0	11	0.4	414
Hrefy	0	12	0.4	424
Hrefy	0	13	0.4	430
Hrefy	0	14	0.4	436
Hrefy	0	15	0.4	441
Hrefy	0	0	0.41	346
Hrefy	0	1	0.41	353
Hrefy	0	2	0.41	360
Hrefy	0	3	0.41	366
Hrefy	0	4	0.41	376
Hrefy	0	5	0.41	382
Hrefy	0	6	0.41	389
Hrefy	0	7	0.41	394
Hrefy	0	8	0.41	405
Hrefy	0	9	0.41	412
Hrefy	0	10	0.41	418
Hrefy	0	11	0.41	424
Hrefy	0	12	0.41	434
Hrefy	0	13	0.41	440
Hrefy	0	14	0.41	446
Hrefy	0	15	0.41	451
Hrefy	0	0	0.42	354
Hrefy	0	1	0.42	361
Hrefy	0	2	0.42	368
Hrefy	0	3	0.42	375
Hrefy	0	4	0.42	385
Hrefy	0	5	0.42	391
Hrefy	0	6	0.42	398
Hrefy	0	7	0.42	403
Hrefy	0	8	0.42	415
Hrefy	0	9	0.42	421
Hrefy	0	10	0.42	428
Hrefy	0	11	0.42	434
Hrefy	0	12	0.42	444
Hrefy	0	13	0.42	450
Hrefy	0	14	0.42	457
